method,case_id,category,fake_record_name,synthetic_variable_name,synthetic_value_len,synthetic_value_byte_len,compiler_selected,operation_label,expected_observation,actual_observation,expected_success,actual_success,c_harness_matched,getenv_matched,mutation_matched,pointer_lifetime_matched,putenv_ownership_matched,cleanup_matched,return_value_matched,errno_matched,compiler_observed,resolver_not_tested,portability_not_tested,security_not_tested,thread_safety_not_tested,naive_should_fail,output_char_len,output_byte_len,elapsed_sec,failure_reason,harness_ran
preserve_original_case_baseline,e001,getenv_policy,fake_env_key,OAI_FAKE_ENV_FOOTGUN_MISSING_XYZ,0,0,zig cc,getenv_missing,getenv_returns_null,getenv_returns_null,success,success,True,True,True,True,True,True,True,True,True,True,True,True,True,False,0,0,0.007268461165949702,,True
preserve_original_case_baseline,e002,getenv_policy,demo_setting,OAI_FAKE_ENV_FOOTGUN_TEST_A,5,5,zig cc,setenv_getenv,setenv_getenv_ok,setenv_getenv_ok,success,success,True,True,True,True,True,True,True,True,True,True,True,True,True,False,0,0,0.007690447149798274,,True
preserve_original_case_baseline,e003,mutation_caveat,synthetic_option,OAI_FAKE_ENV_FOOTGUN_TEST_B,3,3,zig cc,setenv_no_overwrite,setenv_overwrite_zero_preserves,setenv_overwrite_zero_preserves,success,success,True,True,True,True,True,True,True,True,True,True,True,True,True,False,0,0,0.007527562091127038,,True
preserve_original_case_baseline,e004,mutation_caveat,toy_process_var,OAI_FAKE_ENV_FOOTGUN_TEST_C,3,3,zig cc,setenv_overwrite,setenv_overwrite_replaces,setenv_overwrite_replaces,success,success,True,True,True,True,True,True,True,True,True,True,True,True,True,False,0,0,0.0076935801189392805,,True
preserve_original_case_baseline,e005,getenv_policy,example_value,OAI_FAKE_ENV_FOOTGUN_TEST_D,4,4,zig cc,unsetenv_removes,unsetenv_ok,unsetenv_ok,success,success,True,True,True,True,True,True,True,True,True,True,True,True,True,False,0,0,0.00757555989548564,,True
preserve_original_case_baseline,e006,getenv_policy,fake_resolver_flag,OAI_FAKE_ENV_FOOTGUN_EMPTY_VAL,0,0,zig cc,empty_value,empty_value_distinct_from_missing,empty_value_distinct_from_missing,success,success,True,True,True,True,True,True,True,True,True,True,True,True,True,False,0,0,0.007507518166676164,,True
preserve_original_case_baseline,e007,getenv_policy,sample_locale_marker,BAD=NAME,1,1,zig cc,invalid_equals,invalid_name_contains_equals,invalid_name_contains_equals,caveat,caveat,True,True,True,True,True,True,True,True,True,True,True,True,True,True,0,0,0.0076600790489465,,True
preserve_original_case_baseline,e008,getenv_policy,fictional_thread_case,,1,1,zig cc,invalid_empty,empty_name_invalid,empty_name_invalid,caveat,caveat,True,True,True,True,True,True,True,True,True,True,True,True,True,True,0,0,0.007614720147103071,,True
preserve_original_case_baseline,e009,getenv_policy,test_env_slot,OAI_FAKE_ENV_FOOTGUN_LONG_VAL,200,200,zig cc,long_value,long_value_ok,long_value_ok,success,success,True,True,True,True,True,True,True,True,True,True,True,True,True,False,0,0,0.007416495122015476,,True
preserve_original_case_baseline,e010,getenv_policy,demo_config_value,OAI_FAKE_ENV_FOOTGUN_MANY_,1,1,zig cc,many_vars,many_vars_ok,many_vars_ok,success,success,True,True,True,True,True,True,True,True,True,True,True,True,True,False,0,0,0.007560105994343758,,True
preserve_original_case_baseline,e011,pointer_lifetime_caveat,fake_feature_flag,OAI_FAKE_ENV_FOOTGUN_PTR_A,6,6,zig cc,getenv_ptr,getenv_returns_ptr_to_global_state,getenv_returns_ptr_to_global_state,caveat,caveat,True,True,True,True,True,True,True,True,True,True,True,True,True,True,0,0,0.007952686166390777,,True
preserve_original_case_baseline,e012,pointer_lifetime_caveat,fake_lookup_key,OAI_FAKE_ENV_FOOTGUN_PTR_B,2,2,zig cc,ptr_after_mut,pointer_may_be_invalidated_after_setenv,pointer_may_be_invalidated_after_setenv,caveat,caveat,True,True,True,True,True,True,True,True,True,True,True,True,True,True,0,0,0.0076177469454705715,,True
preserve_original_case_baseline,e013,pointer_lifetime_caveat,synthetic_payload,OAI_FAKE_ENV_FOOTGUN_PTR_C,4,4,zig cc,copy_before_mut,copy_preserves_value,copy_preserves_value,success,success,True,True,True,True,True,True,True,True,True,True,True,True,True,False,0,0,0.007385230856016278,,True
preserve_original_case_baseline,e014,putenv_ownership_caveat,fake_env_key,OAI_FAKE_ENV_FOOTGUN_PUT_A,6,6,zig cc,putenv_avail,putenv_ok,putenv_ok,success,success,True,True,True,True,True,True,True,True,True,True,True,True,True,False,0,0,0.007735916879028082,,True
preserve_original_case_baseline,e015,putenv_ownership_caveat,demo_setting,OAI_FAKE_ENV_FOOTGUN_PUT_B,1,1,zig cc,putenv_unavail,putenv_posix_not_iso_c,putenv_posix_not_iso_c,not_tested,not_tested,,,,,,,,True,True,True,True,True,True,False,0,0,2.0030420273542404e-06,,False
preserve_original_case_baseline,e016,putenv_ownership_caveat,synthetic_option,OAI_FAKE_ENV_FOOTGUN_PUT_C,10,10,zig cc,putenv_caller_buf,putenv_uses_caller_buffer_no_copy,putenv_uses_caller_buffer_no_copy,caveat,caveat,True,True,True,True,True,True,True,True,True,True,True,True,True,True,0,0,0.007702667964622378,,True
preserve_original_case_baseline,e017,putenv_ownership_caveat,toy_process_var,OAI_FAKE_ENV_FOOTGUN_PUT_D,3,3,zig cc,putenv_mut_changed,putenv_buffer_mutation_visible,putenv_buffer_mutation_visible,caveat,caveat,True,True,True,True,True,True,True,True,True,True,True,True,True,True,0,0,0.007636060006916523,,True
preserve_original_case_baseline,e018,putenv_ownership_caveat,example_value,NOEQUALS,1,1,zig cc,putenv_no_equals,putenv_string_must_contain_equals,putenv_string_must_contain_equals,caveat,caveat,True,True,True,True,True,True,True,True,True,True,True,True,True,False,0,0,0.007481181062757969,,True
preserve_original_case_baseline,e019,putenv_ownership_caveat,fake_resolver_flag,OAI_FAKE_ENV_FOOTGUN_PUT_E,7,7,zig cc,unset_after_putenv,unsetenv_cleanup_ok,unsetenv_cleanup_ok,success,success,True,True,True,True,True,True,True,True,True,True,True,True,True,False,0,0,0.007588109001517296,,True
preserve_original_case_baseline,e020,global_state_caveat,sample_locale_marker,OAI_FAKE_ENV_FOOTGUN_DUMMY,0,0,zig cc,environ_direct,environ_direct_access_not_run,environ_direct_access_not_run,not_tested,not_tested,,,,,,,,True,True,True,True,True,True,False,0,0,1.8482096493244171e-06,,False
preserve_original_case_baseline,e021,global_state_caveat,fictional_thread_case,OAI_FAKE_ENV_FOOTGUN_DUMMY,0,0,zig cc,host_dump,host_environment_not_dumped,host_environment_not_dumped,not_tested,not_tested,,,,,,,,True,True,True,True,True,True,False,0,0,1.3369135558605194e-06,,False
preserve_original_case_baseline,e022,security_not_tested,test_env_slot,OAI_FAKE_ENV_FOOTGUN_DUMMY,0,0,zig cc,secrets_nr,real_secrets_not_read,real_secrets_not_read,not_tested,not_tested,,,,,,,,True,True,True,True,True,True,False,0,0,9.872019290924072e-07,,False
preserve_original_case_baseline,e023,thread_safety_not_tested,demo_config_value,OAI_FAKE_ENV_FOOTGUN_DUMMY,0,0,zig cc,thread_race,thread_race_not_run,thread_race_not_run,not_tested,not_tested,,,,,,,,True,True,True,True,True,True,False,0,0,8.558854460716248e-07,,False
preserve_original_case_baseline,e024,thread_safety_not_tested,fake_feature_flag,OAI_FAKE_ENV_FOOTGUN_DUMMY,0,0,zig cc,lib_thread,library_may_spawn_threads,library_may_spawn_threads,not_tested,not_tested,,,,,,,,True,True,True,True,True,True,False,0,0,1.0838266462087631e-06,,False
preserve_original_case_baseline,e025,global_state_caveat,fake_lookup_key,OAI_FAKE_ENV_FOOTGUN_DUMMY,0,0,zig cc,lock_getenv,lock_getenv_not_enough,lock_getenv_not_enough,not_tested,not_tested,,,,,,,,True,True,True,True,True,True,False,0,0,8.619390428066254e-07,,False
preserve_original_case_baseline,e026,global_state_caveat,synthetic_payload,OAI_FAKE_ENV_FOOTGUN_DUMMY,0,0,zig cc,ptr_inval,pointer_invalidation_caveat,pointer_invalidation_caveat,not_tested,not_tested,,,,,,,,True,True,True,True,True,True,False,0,0,9.119976311922073e-07,,False
preserve_original_case_baseline,e027,locale_not_tested,fake_env_key,OAI_FAKE_ENV_FOOTGUN_DUMMY,0,0,zig cc,locale_env,locale_environment_not_tested,locale_environment_not_tested,not_tested,not_tested,,,,,,,,True,True,True,True,True,True,False,0,0,1.0619405657052994e-06,,False
preserve_original_case_baseline,e028,locale_not_tested,demo_setting,OAI_FAKE_ENV_FOOTGUN_DUMMY,0,0,zig cc,tz_env,timezone_not_tested,timezone_not_tested,not_tested,not_tested,,,,,,,,True,True,True,True,True,True,False,0,0,8.759088814258575e-07,,False
preserve_original_case_baseline,e029,resolver_not_tested,synthetic_option,OAI_FAKE_ENV_FOOTGUN_DUMMY,0,0,zig cc,gai_env,getaddrinfo_not_tested,getaddrinfo_not_tested,not_tested,not_tested,,,,,,,,True,True,True,True,True,True,False,0,0,7.860362529754639e-07,,False
preserve_original_case_baseline,e030,resolver_not_tested,toy_process_var,OAI_FAKE_ENV_FOOTGUN_DUMMY,0,0,zig cc,dns_net,dns_network_not_tested,dns_network_not_tested,not_tested,not_tested,,,,,,,,True,True,True,True,True,True,False,0,0,7.520429790019989e-07,,False
preserve_original_case_baseline,e031,resolver_not_tested,example_value,OAI_FAKE_ENV_FOOTGUN_DUMMY,0,0,zig cc,nss_nr,nss_resolver_not_tested,nss_resolver_not_tested,not_tested,not_tested,,,,,,,,True,True,True,True,True,True,False,0,0,7.709022611379623e-07,,False
preserve_original_case_baseline,e032,global_state_caveat,fake_resolver_flag,OAI_FAKE_ENV_FOOTGUN_DUMMY,0,0,zig cc,secure_getenv,secure_getenv_availability_marker,secure_getenv_availability_marker,not_tested,not_tested,,,,,,,,True,True,True,True,True,True,False,0,0,1.1809170246124268e-06,,False
preserve_original_case_baseline,e033,security_not_tested,sample_locale_marker,OAI_FAKE_ENV_FOOTGUN_DUMMY,0,0,zig cc,setuid_nr,setuid_security_not_tested,setuid_security_not_tested,not_tested,not_tested,,,,,,,,True,True,True,True,True,True,False,0,0,8.600763976573944e-07,,False
preserve_original_case_baseline,e034,getenv_policy,fictional_thread_case,OAI_FAKE_ENV_FOOTGUN_ERR_A,0,0,zig cc,errno_invalid,errno_set_on_invalid_name,errno_set_on_invalid_name,caveat,caveat,True,True,True,True,True,True,True,True,True,True,True,True,True,False,0,0,0.0073743220418691635,,True
preserve_original_case_baseline,e035,portability_not_tested,test_env_slot,OAI_FAKE_ENV_FOOTGUN_ERR_B,0,0,zig cc,errno_port,errno_portability_varies,errno_portability_varies,caveat,caveat,True,True,True,True,True,True,True,True,True,True,True,True,True,False,0,0,0.00753702805377543,,True
preserve_original_case_baseline,e036,posix_extension_caveat,demo_config_value,OAI_FAKE_ENV_FOOTGUN_POSIX_A,1,1,zig cc,posix_iso,setenv_is_posix_not_iso_c,setenv_is_posix_not_iso_c,success,success,True,True,True,True,True,True,True,True,True,True,True,True,True,False,0,0,0.0074877189472317696,,True
preserve_original_case_baseline,e037,portability_not_tested,fake_feature_flag,OAI_FAKE_ENV_FOOTGUN_GLIBC_A,1,1,zig cc,glibc_marker,glibc_specific_not_generalized,glibc_specific_not_generalized,not_tested,not_tested,,,,,,,,True,True,True,True,True,True,False,0,0,1.783948391675949e-06,,False
preserve_original_case_baseline,e038,portability_not_tested,fake_lookup_key,OAI_FAKE_ENV_FOOTGUN_ILLUMOS_A,1,1,zig cc,illumos_marker,illumos_behavior_not_tested,illumos_behavior_not_tested,not_tested,not_tested,,,,,,,,True,True,True,True,True,True,False,0,0,1.3459939509630203e-06,,False
preserve_original_case_baseline,e039,portability_not_tested,synthetic_payload,OAI_FAKE_ENV_FOOTGUN_MUSL_A,1,1,zig cc,musl_bsd_macos,musl_bsd_macos_not_tested,musl_bsd_macos_not_tested,not_tested,not_tested,,,,,,,,True,True,True,True,True,True,False,0,0,1.0710209608078003e-06,,False
preserve_original_case_baseline,e040,portability_not_tested,fake_env_key,OAI_FAKE_ENV_FOOTGUN_CGO_A,1,1,zig cc,cgo_rust,cgo_rust_behavior_not_tested,cgo_rust_behavior_not_tested,not_tested,not_tested,,,,,,,,True,True,True,True,True,True,False,0,0,1.0130461305379868e-06,,False
preserve_original_case_baseline,e041,security_not_tested,demo_setting,OAI_FAKE_ENV_FOOTGUN_FORK_A,1,1,zig cc,fork_iso,fork_isolation_not_tested,fork_isolation_not_tested,not_tested,not_tested,,,,,,,,True,True,True,True,True,True,False,0,0,8.658971637487411e-07,,False
preserve_original_case_baseline,e042,getenv_policy,synthetic_option,OAI_FAKE_ENV_FOOTGUN_CHILD_A,8,8,zig cc,child_env,child_inherits_env_copy,child_inherits_env_copy,success,success,True,True,True,True,True,True,True,True,True,True,True,True,True,False,0,0,0.007522875908762217,,True
preserve_original_case_baseline,e043,getenv_policy,toy_process_var,OAI_FAKE_ENV_FOOTGUN_CLEAN_A,3,3,zig cc,cleanup_case,cleanup_ok,cleanup_ok,success,success,True,True,True,True,True,True,True,True,True,True,True,True,True,False,0,0,0.007501112064346671,,True
preserve_original_case_baseline,e044,getenv_policy,example_value,OAI_FAKE_ENV_FOOTGUN_DUP_A,1,1,zig cc,dup_set_unset,dup_set_unset_ok,dup_set_unset_ok,success,success,True,True,True,True,True,True,True,True,True,True,True,True,True,False,0,0,0.0074872279074043036,,True
preserve_original_case_baseline,e045,getenv_policy,fake_resolver_flag,OAI_FAKE_ENV_FOOTGUN_CaSe_SeNsItIvE,1,1,zig cc,case_sense,env_names_case_sensitive,env_names_case_sensitive,success,success,True,True,True,True,True,True,True,True,True,True,True,True,True,False,0,0,0.007601566845551133,,True
preserve_original_case_baseline,e046,getenv_policy,sample_locale_marker,OAI_FAKE_ENV_FOOTGUN_UTF8_VAL,4,5,zig cc,non_ascii,non_ascii_value_bytes_opaque,non_ascii_value_bytes_opaque,caveat,caveat,True,True,True,True,True,True,True,True,True,True,True,True,True,False,0,0,0.007536130025982857,,True
preserve_original_case_baseline,e047,getenv_policy,fictional_thread_case,OAI_FAKE_ENV_FOOTGUN_NUL_A,3,3,zig cc,nul_byte,nul_byte_impossible_in_env_string,nul_byte_impossible_in_env_string,not_tested,not_tested,,,,,,,,True,True,True,True,True,True,False,0,0,2.16788612306118e-06,,False
preserve_original_case_baseline,e048,getenv_policy,test_env_slot,OAI_FAKE_ENV_FOOTGUN_SNPRINTF_A,11,11,zig cc,snprintf_bound,snprintf_bounded_ok,snprintf_bounded_ok,success,success,True,True,True,True,True,True,True,True,True,True,True,True,True,False,0,0,0.007518247934058309,,True
preserve_original_case_baseline,e049,naive_negative,demo_config_value,OAI_FAKE_ENV_FOOTGUN_NAIVE_E049,1,1,zig cc,naive_immutable,naive_getenv_immutable,naive_getenv_immutable,caveat,caveat,True,True,True,True,True,True,True,True,True,True,True,True,True,True,0,0,0.0073223470244556665,,True
preserve_original_case_baseline,e050,naive_negative,fake_feature_flag,OAI_FAKE_ENV_FOOTGUN_NAIVE_E050,1,1,zig cc,naive_setenv_safe,naive_setenv_always_safe,naive_setenv_always_safe,caveat,caveat,True,True,True,True,True,True,True,True,True,True,True,True,True,True,0,0,0.00780450995080173,,True
preserve_original_case_baseline,e051,naive_negative,fake_lookup_key,OAI_FAKE_ENV_FOOTGUN_NAIVE_E051,1,1,zig cc,naive_putenv_copy,naive_putenv_copies,naive_putenv_copies,caveat,caveat,True,True,True,True,True,True,True,True,True,True,True,True,True,True,0,0,0.007745861075818539,,True
preserve_original_case_baseline,e052,naive_negative,synthetic_payload,OAI_FAKE_ENV_FOOTGUN_NAIVE_E052,1,1,zig cc,naive_empty_missing,naive_empty_equals_missing,naive_empty_equals_missing,caveat,caveat,True,True,True,True,True,True,True,True,True,True,True,True,True,True,0,0,0.007727860938757658,,True
preserve_original_case_baseline,e053,naive_negative,fake_env_key,OAI_FAKE_ENV_FOOTGUN_NAIVE_E053,1,1,zig cc,naive_thread_safe,naive_env_thread_safe,naive_env_thread_safe,caveat,caveat,True,True,True,True,True,True,True,True,True,True,True,True,True,True,0,0,0.007589394226670265,,True
getenv_policy_observer,e001,getenv_policy,fake_env_key,OAI_FAKE_ENV_FOOTGUN_MISSING_XYZ,0,0,zig cc,getenv_missing,getenv_returns_null,getenv_returns_null,success,success,True,True,True,True,True,True,True,True,True,True,True,True,True,False,0,0,0.007480318890884519,,True
getenv_policy_observer,e002,getenv_policy,demo_setting,OAI_FAKE_ENV_FOOTGUN_TEST_A,5,5,zig cc,setenv_getenv,setenv_getenv_ok,setenv_getenv_ok,success,success,True,True,True,True,True,True,True,True,True,True,True,True,True,False,0,0,0.007657101145014167,,True
